x_value,total_1,total_2
0,1000,1000
1,996,1004
2,999,1007
3,1003,1013
4,1001,1016
5,1000,1012
6,1002,1009
7,998,1007
8,998,1007
9,993,1005
10,1001,1004
11,1003,1005
12,1010,1002
13,1006,999
14,1003,998
15,1006,1003
16,1003,999
17,1007,994
18,1004,997
19,1002,1003
20,1006,1006
21,1002,1008
22,1010,1011
23,1005,1016
24,1011,1013
25,1016,1018
26,1010,1024
27,1017,1025
28,1024,1023
29,1024,1019
30,1030,1015
31,1033,1015
32,1030,1019
33,1026,1021
34,1034,1018
35,1037,1022
36,1041,1026
37,1046,1021
